timestamp,Fx,Fy,Fz,Mx,My,Mz
1775598557.025701,-0.009740,-0.002580,-0.001160,-0.000026,-0.000061,0.000150
1775598557.076991,-0.009740,-0.002580,-0.001160,-0.000026,-0.000061,0.000150
1775598557.128020,-0.009740,-0.005580,-0.005160,-0.000016,0.000019,0.000200
1775598557.178747,-0.009740,-0.005580,-0.005160,-0.000016,0.000019,0.000200
1775598557.230352,-0.009740,-0.005580,-0.005160,-0.000016,0.000019,0.000200
1775598557.281402,-0.011740,-0.013580,0.006840,-0.000026,-0.000041,0.000360
1775598557.332504,-0.011740,-0.013580,0.006840,-0.000026,-0.000041,0.000360
1775598557.383776,-0.011740,-0.013580,0.006840,-0.000026,-0.000041,0.000360
1775598557.435419,-0.013740,-0.012580,0.042840,-0.000096,0.000079,0.000200
1775598557.487169,-0.015740,-0.012580,0.017840,-0.000096,0.000089,0.000290
1775598557.538994,-0.015740,-0.012580,0.017840,-0.000096,0.000089,0.000290
1775598557.590085,-0.003740,-0.022580,-0.000160,-0.000036,0.000039,0.000600
1775598557.640793,-0.003740,-0.022580,-0.000160,-0.000036,0.000039,0.000600
1775598557.691204,-0.003740,-0.022580,-0.000160,-0.000036,0.000039,0.000600
1775598557.741837,0.008260,-0.010580,0.006840,-0.000086,0.000059,0.000160
1775598557.792836,0.000260,-0.016580,0.014840,0.000014,-0.000011,0.000460
1775598557.843251,0.000260,-0.016580,0.014840,0.000014,-0.000011,0.000460
1775598557.894533,0.000260,-0.016580,0.014840,0.000014,-0.000011,0.000460
1775598557.944930,0.001260,0.006420,-0.014160,0.000004,0.000109,-0.000220
1775598557.995348,0.001260,0.006420,-0.014160,0.000004,0.000109,-0.000220
1775598558.046329,0.001260,0.006420,-0.014160,0.000004,0.000109,-0.000220
1775598558.097162,-0.014740,0.074420,-0.170160,0.000294,0.000469,0.000670
1775598558.147748,-0.014740,0.074420,-0.170160,0.000294,0.000469,0.000670
1775598558.198654,-0.014740,0.074420,-0.170160,0.000294,0.000469,0.000670
1775598558.249827,-0.130740,0.043420,-0.949160,0.000054,0.001549,0.000750
1775598558.300525,-0.130740,0.043420,-0.949160,0.000054,0.001549,0.000750
1775598558.351498,-0.130740,0.043420,-0.949160,0.000054,0.001549,0.000750
1775598558.402000,-0.111740,0.071420,-1.440160,0.000524,0.001219,0.001290
1775598558.452748,-0.111740,0.071420,-1.440160,0.000524,0.001219,0.001290
1775598558.504105,-0.111740,0.071420,-1.440160,0.000524,0.001219,0.001290
1775598558.555775,-0.090740,0.147420,-2.468160,0.001234,0.001019,0.001470
1775598558.606458,-0.090740,0.147420,-2.468160,0.001234,0.001019,0.001470
1775598558.656979,-0.090740,0.147420,-2.468160,0.001234,0.001019,0.001470
1775598558.707643,0.142260,0.110420,-3.717160,0.001724,-0.000131,0.002020
1775598558.758453,0.142260,0.110420,-3.717160,0.001724,-0.000131,0.002020
1775598558.809590,0.142260,0.110420,-3.717160,0.001724,-0.000131,0.002020
1775598558.860472,0.202260,0.176420,-6.063160,0.003284,-0.001101,0.002700
1775598558.911606,0.202260,0.176420,-6.063160,0.003284,-0.001101,0.002700
1775598558.962140,0.202260,0.176420,-6.063160,0.003284,-0.001101,0.002700
1775598559.012886,0.338260,0.464420,-8.069160,0.005484,-0.002601,0.003510
1775598559.063410,0.335260,0.295420,-8.371160,0.005034,-0.002791,0.003320
1775598559.114432,0.335260,0.295420,-8.371160,0.005034,-0.002791,0.003320
1775598559.165137,0.399260,0.273420,-8.494160,0.004944,-0.003171,0.003500
1775598559.215796,0.347260,0.243420,-10.152160,0.005974,-0.003671,0.003430
1775598559.266511,0.347260,0.243420,-10.152160,0.005974,-0.003671,0.003430
1775598559.317403,0.347260,0.243420,-10.152160,0.005974,-0.003671,0.003430
1775598559.368783,0.663260,0.197420,-11.749160,0.006584,-0.005821,0.004560
1775598559.419148,0.663260,0.197420,-11.749160,0.006584,-0.005821,0.004560
1775598559.469939,0.663260,0.197420,-11.749160,0.006584,-0.005821,0.004560
