group,trial,peak_force_n,light_success,heavy_success
Plain DP,tts_rollout_20260608_162457,18.287593841552734,False,True
Plain DP,tts_rollout_20260608_162611,19.532878875732422,False,True
Plain DP,tts_rollout_20260608_162715,18.807723999023438,False,True
Plain DP,tts_rollout_20260608_162814,19.971473693847656,False,True
Plain DP,tts_rollout_20260608_162911,19.635835647583008,False,True
Plain DP,tts_rollout_20260608_163010,5.202681064605713,False,False
Plain DP,tts_rollout_20260608_163101,8.128746032714844,False,False
Plain DP,tts_rollout_20260608_163154,5.53640079498291,False,False
Plain DP,tts_rollout_20260608_163408,21.54288673400879,False,True
Plain DP,tts_rollout_20260608_163508,9.076739311218262,False,False
Plain DP,tts_rollout_20260608_170057,3.865499973297119,True,False
Plain DP,tts_rollout_20260608_170144,15.218303680419922,False,True
Plain DP,tts_rollout_20260608_170238,8.852800369262695,False,False
Plain DP,tts_rollout_20260608_170454,18.020719528198242,False,True
Plain DP,tts_rollout_20260608_170659,16.279674530029297,False,True
Plain DP,tts_rollout_20260608_192002,18.57425880432129,False,True
Plain DP,tts_rollout_20260608_192102,18.29618263244629,False,True
Plain DP,tts_rollout_20260608_192257,6.611757755279541,False,False
Plain DP,tts_rollout_20260608_192503,15.067933082580566,False,True
Plain DP,tts_rollout_20260608_202921,14.418900489807129,False,True
Plain DP,tts_rollout_20260608_203027,19.067413330078125,False,True
Plain DP,tts_rollout_20260608_203119,13.770004272460938,False,True
Plain DP,tts_rollout_20260609_195835,16.450151443481445,False,True
Plain DP,tts_rollout_20260609_200028,3.645657539367676,True,False
Plain DP,tts_rollout_20260609_200214,17.60239028930664,False,True
Plain DP,tts_rollout_20260609_200300,6.1549506187438965,False,False
Plain DP,tts_rollout_20260609_200419,19.141193389892578,False,True
Plain DP,tts_rollout_20260609_200514,14.326650619506836,False,True
Plain DP,tts_rollout_20260609_200707,9.391350746154785,False,False
Plain DP,tts_rollout_20260609_200845,5.4087605476379395,False,False
TTS 0.2 N,tts_rollout_20260608_154803,1.6194716691970825,True,False
TTS 0.2 N,tts_rollout_20260608_155015,16.901493072509766,False,True
TTS 0.2 N,tts_rollout_20260608_155118,2.189065456390381,True,False
TTS 0.2 N,tts_rollout_20260608_155215,2.4445738792419434,True,False
TTS 0.2 N,tts_rollout_20260608_155321,5.076140880584717,False,False
TTS 0.2 N,tts_rollout_20260608_155427,8.950881004333496,False,False
TTS 0.2 N,tts_rollout_20260608_155531,19.546772003173828,False,True
