episode,status,n,force_min,force_p05,force_med,force_p95,force_max,force_abs_med,force_abs_max,delta_abs_p95,mask_min,mask_med,mask_max,mask_low_frac,mask_high_frac,nan_count,mask_mode,input_mode
20260726T183538131556_fail,ok,66,-4.977473735809326,-4.653436899185181,-1.9985825419425964,-0.520601287484169,-0.209416002035141,1.9985825419425964,4.977473735809326,1.1490600824356076,0.2067057341337204,0.2619270980358124,0.2653645873069763,0.0,0.0,0,sam2,edge
20260726T183633650521_fail,ok,75,-3.8165292739868164,-3.5397216796875,-2.1063077449798584,-1.1812523484230042,-0.8151108622550964,2.1063077449798584,3.8165292739868164,1.558125907182692,0.13799479603767395,0.13968749344348907,0.1522916704416275,0.0,0.0,0,sam2,edge
20260726T183912825748_fail,ok,77,-4.598818302154541,-4.463602066040039,-3.77655029296875,-0.7865458369255065,-0.5924127697944641,3.77655029296875,4.598818302154541,0.8191659301519394,0.1324348896741867,0.13626302778720856,0.15057291090488434,0.0,0.0,0,sam2,edge
20260726T184032709565_fail,ok,41,-3.3622961044311523,-3.1687231063842773,-1.4585589170455933,-0.5432169437408447,-0.42924076318740845,1.4585589170455933,3.3622961044311523,0.8515949770808215,0.14005208015441895,0.1431249976158142,0.15195313096046448,0.0,0.0,0,sam2,edge
20260726T184236092681_fail,ok,66,-6.375563621520996,-6.0748889446258545,-4.011750221252441,-0.7716444283723831,-0.3628394305706024,4.011750221252441,6.375563621520996,1.0215202569961543,0.1358984410762787,0.13798177242279053,0.19858072698116302,0.0,0.0,0,sam2,edge
20260726T184332229617_fail,ok,75,-7.674567699432373,-7.27156629562378,-5.7021965980529785,-0.6143540620803833,-0.545403778553009,5.7021965980529785,7.674567699432373,0.7251554250717156,0.12790364027023315,0.13106770813465118,0.15000000596046448,0.0,0.0,0,sam2,edge
20260726T191136969478_fail,ok,80,-2.6345887184143066,-2.264870595932007,-1.566055953502655,-0.25984939038753546,-0.07460105419158936,1.566055953502655,2.6345887184143066,0.8023428797721857,0.27481770515441895,0.27878907322883606,0.2916796803474426,0.0,0.0,0,sam2,edge
20260726T191209897330_fail,ok,121,-5.458779811859131,-4.833011627197266,-2.7115979194641113,-1.4335122108459473,-1.1991279125213623,2.7115979194641113,5.458779811859131,1.2759596824645993,0.18632812798023224,0.20167969167232513,0.21243490278720856,0.0,0.0,0,sam2,edge
20260726T191239447600_fail,ok,116,-4.593334674835205,-4.372901201248169,-3.188415765762329,-1.4759492576122284,-0.9130595922470093,3.188415765762329,4.593334674835205,1.239502692222595,0.1352083384990692,0.13848307728767395,0.15428385138511658,0.0,0.0,0,sam2,edge
20260726T191325707523_fail,ok,139,-8.157578468322754,-7.384198427200317,-3.655111312866211,-1.7269250988960267,-1.1485753059387207,3.655111312866211,8.157578468322754,1.2731386065483095,0.13451823592185974,0.1401953101158142,0.15723958611488342,0.0,0.0,0,sam2,edge
